car_id,car_name,car_company,car_model,model_year,price,km_covered,mileage,description,customer_review_rating,customer_review_description,years_used
184,"BMW X3","BMW","X3",2019,4200000,18000,17,"Luxurious SUV with advanced technology.",9,"Luxurious interiors. Strong performance.",2
185,"Audi Q3","Audi","Q3",2018,3200000,22000,16,"Compact luxury SUV with elegant design.",8.5,"Elegant design. Comfortable ride.",3
186,"Mercedes-Benz GLE","Mercedes-Benz","GLE",2017,3800000,28000,15,"Luxurious SUV with premium features.",9,"Luxurious interiors. Smooth ride quality.",4
187,"Toyota Camry","Toyota","Camry",2018,3500000,30000,14,"Premium sedan with refined performance.",8.5,"Smooth driving experience. Comfortable interiors.",5
188,"Maruti Suzuki Wagon R","Maruti Suzuki","Wagon R",2019,550000,20000,19,"Spacious and practical hatchback with good fuel efficiency.",7.5,"Practical features. Easy to drive.",6
189,"Hyundai Aura","Hyundai","Aura",2020,750000,18000,18,"Stylish and feature-packed compact sedan.",8,"Feature-packed. Stylish design.",4
190,"Ford Freestyle","Ford","Freestyle",2019,700000,25000,17,"Crossover with rugged styling and good ground clearance.",8,"Rugged styling. Practical features.",3
191,"Mahindra KUV100 NXT","Mahindra","KUV100 NXT",2018,600000,30000,16,"Compact SUV with unique styling.",7.5,"Unique design. Comfortable ride.",5
192,"Tata Altroz","Tata","Altroz",2019,800000,22000,18,"Premium hatchback with modern features.",8,"Modern features. Sleek design.",4
193,"Volkswagen Ameo","Volkswagen","Ameo",2018,750000,25000,17,"Compact sedan with solid build quality.",8,"Solid build quality. Peppy engine.",5
194,"Renault Lodgy","Renault","Lodgy",2016,950000,28000,15,"Spacious and practical MPV with versatile seating.",8.5,"Versatile seating. Spacious interiors.",3
195,"Chevrolet Enjoy","Chevrolet","Enjoy",2017,850000,30000,16,"Practical MPV with spacious cabin.",7.5,"Spacious interiors. Practical features.",4
196,"Nissan Micra Active","Nissan","Micra Active",2016,350000,35000,20,"Affordable hatchback with decent features.",7,"Affordable pricing. Decent performance.",6
197,"Skoda Fabia","Skoda","Fabia",2019,800000,22000,18,"Premium hatchback with solid build quality and comfortable interiors.",8,"Solid build quality. Comfortable ride.",5
198,"BMW X5","BMW","X5",2020,5500000,20000,22,"Luxurious SUV with advanced features and strong performance.",9,"Luxurious interiors. Powerful engine.",2
199,"Audi A6","Audi","A6",2018,4200000,25000,17,"Executive sedan with refined performance and elegant design.",8.5,"Smooth acceleration. Elegant interiors.",3
200,"Mercedes-Benz GLC","Mercedes-Benz","GLC",2019,4500000,18000,20,"Luxurious SUV with premium features and elegant design.",9,"Luxurious interiors. Smooth ride quality.",2
